objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
473347,Footing Club de Bours,"Association de pratique sportive pédestre (trail, running et marche) tout niveau mais avec une ambiance bon enfant et joyeuse. https://lesboursixcotes.fr/",/associations/footing-club-de-bours,https://cdn.helloasso.com/img/logos/croppedimage-973a230989834b21894e7e3aca52fa60.png,https://cdn.helloasso.com/img/photos/croppedimage-8c574da10f0b4fc1837a321c7e75d9df.png,Bours,62550,Pas-de-Calais,Hauts-de-France,21 Rue de l'Eglise,50.454726,2.410065,Association1901,Sport | Enfance | Trail,,1,Event,1707260400,1775022485,110,,contact@lesboursixcotes.fr,0615546062
167826,THE WALKING DOG,Promenades/Balades Canines et Activités pour Chiens 59/62/80,/associations/the-walking-dog,https://cdn.helloasso.com/img/logos/croppedimage-19556b39a3c04821addcb54871686041.png,https://cdn.helloasso.com/img/photos/croppedimage-8a90f4f843ea4045bb0ecabfa9d95b52.png,Saint-Laurent-Blangy,62223,Pas-de-Calais,Hauts-de-France,Rue de Versailles,50.302005,2.806208,Association1901,Animaux | Chiens,,23,"Event, Donation, Membership",1569276000,1775034500,110,,thewalkingdogarrasco@gmail.com,0770030594
289760,Association Jazzypop,"Organisation d’événements autour de la danse : spectacles ou stages de danse avec des danseurs professionnels (samba, jive, cha-cha, contemporain, Heels, ...) ouverts à tous les niveaux ; mais également des cours de claquettes, de talons ou de Modern-Jazz adultes ",/associations/association-jazzypop,https://cdn.helloasso.com/img/logos/croppedimage-7c60ee4fba794828a1c906796e9abc10.png,https://cdn.helloasso.com/img/photos/croppedimage-291e21f96b9b4b1eab4d72f90524cfd6.png,Guînes,62340,Pas-de-Calais,Hauts-de-France,16 Rue du Bassin,50.867538,1.870599,Association1901,Claquettes | Danse | Jazz | Professionnels | Samba | Arts et Culture,,2,"Event, Donation",1635807600,1775041534,110,,associationjazzypop@hotmail.com,
291229,PALJ,"Créée en 1980 par des utopistes, cette association sévit encore aujourd’hui, avec pour objectif de créer et partager des temps forts dans notre vie d'acteur de notre société !",/associations/palj,https://cdn.helloasso.com/img/logos/croppedimage-4313afb8069c4c0fb26f32824e1fc5f3.png,https://cdn.helloasso.com/img/photos/croppedimage-bc474b4b6e734e2f82ca609cf1d7fa6d.png,Arras,62000,Pas-de-Calais,Hauts-de-France,16 Rue Aristide Briand,50.290164,2.769041,Association1901,Arts | Culture | Arts et Culture,,5,"Event, Membership",1636498800,1774731856,110,,assopalj@gmail.com,0607015143
303045,Association des Parents d'Elèves de Burbure,L'APEB a pour objectif d'apporter une aide matérielle et financière aux écoles en recueillant des fonds par le biais de diverses actions. Et d'animer la communauté de parents afin de créer du lien entre les divers acteurs de la sphère scolaire et périscolaire.,/associations/association-des-parents-d-eleves-de-burbure,https://cdn.helloasso.com/img/logos/croppedimage-cc281aba1f8843b1b972596e501709d3.png,https://cdn.helloasso.com/img/photos/croppedimage-4299a1d9ff54471d909417882765fbf3.jpg,Auchel,62260,Pas-de-Calais,Hauts-de-France,14 Rue du Canada,50.509365,2.468151,Association1901,Education | Formation,,2,Event,1643497200,1774989279,110,,apebburbure@gmail.com,0628193460
301209,MOTO CLUB SOURDS CH'TIS,"Club de moto, rencontres… ",/associations/moto-club-sourds-ch-tis,https://cdn.helloasso.com/img/logos/croppedimage-55a15fbcd35945b8867eb421713cad11.png,https://cdn.helloasso.com/img/photos/croppedimage-26b7a0f0815343d6b2b531af9c212cad.png,Arras,62000,Pas-de-Calais,Hauts-de-France,6 Rue de la République,50.28639,2.783328,Association1901,Moto | Sport,,12,"Shop, Event, Membership",1642460400,1774967710,110,,moto-clubdessourdsduchtis@outlook.com,0686924308
652178,AJM Maroeuil ,"Nous sommes une association de jeunes qui organise des sorties, des événements et des activités pour se rassembler, s’amuser et créer des liens. Notre objectif est de proposer des moments conviviaux, accessibles à tous, et de dynamiser la vie des jeunes.",/associations/ajm-maroeuil,https://cdn.helloasso.com/img/logos/croppedimage-6ec9afd810464ce39256f939cb4a5fda.png,https://cdn.helloasso.com/img/photos/croppedimage-2ec1426ea62647a4938cf19a5b3336eb.png,Marœuil,62161,Pas-de-Calais,Hauts-de-France,3 Rue du General Leclerc,50.323238,2.705525,Association1901,Loisirs,,1,Event,1772146800,1775041134,110,,,
348649,GYM LA COUTUROISE,"Notre club de gym est ouvert du plus petit au plus grand: Baby gym dès 15 mois, cours d’éveil et agrés pour les plus grands, Pour les adultes : Zumba, CrossFit, Yoga, Cours Surprise, Pilates et Réveil tonique sont au rendez-vous  Venez vite profiter d'essais offerts durant tout le mois de septembre ",/associations/gym-la-couturoise,https://cdn.helloasso.com/img/logos/croppedimage-54b64197fda24ac3846d04a35e7704e3.jpg,https://cdn.helloasso.com/img/photos/croppedimage-ab78f535f6814270a34f87c778eb7e32.png,La Couture,62136,Pas-de-Calais,Hauts-de-France,La Couture,50.578297,2.701135,Association1901,Crossfit | Gymnastique | Pilates | Zumba | Bien-être,Octobre-rose,12,"Shop, Event, Membership",1665093600,1774966407,110,,gymlacouturoise62@gmail.com,+33 7 45 26 69 97
439499,APEL Sainte Famille Audruicq,Association des parents d'élèves de l'école Sainte Famille à Audruicq,/associations/apel-sainte-famille-audruicq,https://cdn.helloasso.com/img/logos/croppedimage-ba72f3578dfa43cd8fdc79015ab585e5.png,https://cdn.helloasso.com/img/photos/croppedimage-3bc64457b8884bfaa3d7511a0184c293.png,Audruicq,62370,Pas-de-Calais,Hauts-de-France,270 rue du général Leclerc,50.87618,2.07626,Association1901,Education | Formation | Parents d'élèves,,45,Shop,1696888800,1774873189,110,,aaudruicq@gmail.com,0649938469
270833,Herewego Aventure and Co,"L’association HEREWEGO PRODUCTIONS & CO est un label de production et/ou diffusion de musique que nous qualifions de musique ”authentique”. Nous entendons par “authentique” une musique écrite, composée et interprêtée par des musicien.ne.s humain.e.s avec des instruments physiques.",/associations/herewego-aventure-and-co,https://cdn.helloasso.com/img/logos/croppedimage-3df11a4182bc4bad84bee71be76db73f.png,https://cdn.helloasso.com/img/photos/croppedimage-4cd4fde0bd0c4a7caa95b061e0e5c5b8.jpg,Savy-Berlette,62690,Pas-de-Calais,Hauts-de-France,30 Rue des Manoirs,50.354051,2.569797,Association1901,Arts | Culture | Musique,,5,"Shop, Event, Donation, Membership",1624226400,1774967364,110,,erik@herewegoassociation.club,0652694919
